Country,Policy,Type,Comment
Ireland,Nutrition,Awareness Campaign,Yes
Italy,Nutrition,Awareness Campaign,Yes
Latvia,Nutrition,Awareness Campaign,Yes
Lithuania,Nutrition,Awareness Campaign,Yes
Luxemburg,Nutrition,Awareness Campaign,Yes
Malta,Nutrition,Awareness Campaign,Yes
Netherlands,Nutrition,Awareness Campaign,Yes
Portugal,Nutrition,Awareness Campaign,Yes
Slovakia,Nutrition,Awareness Campaign,Yes
Slovenia,Nutrition,Awareness Campaign,Yes
Spain,Nutrition,Awareness Campaign,Yes
Sweden,Nutrition,Awareness Campaign,Yes
Belgium,Nutrition,Educational Courses for Workers and\or Setting of High Standards across the Food Chain,Yes
Bulgaria,Nutrition,Educational Courses for Workers and\or Setting of High Standards across the Food Chain,Yes
Croatia,Nutrition,Educational Courses for Workers and\or Setting of High Standards across the Food Chain,Yes
Cyprus,Nutrition,Educational Courses for Workers and\or Setting of High Standards across the Food Chain,Yes
Estonia,Nutrition,Educational Courses for Workers and\or Setting of High Standards across the Food Chain,Yes
France,Nutrition,Educational Courses for Workers and\or Setting of High Standards across the Food Chain,Yes
Italy,Nutrition,Educational Courses for Workers and\or Setting of High Standards across the Food Chain,Yes
Latvia,Nutrition,Educational Courses for Workers and\or Setting of High Standards across the Food Chain,Yes
Lithuania,Nutrition,Educational Courses for Workers and\or Setting of High Standards across the Food Chain,Yes
Netherlands,Nutrition,Educational Courses for Workers and\or Setting of High Standards across the Food Chain,Yes
Poland,Nutrition,Educational Courses for Workers and\or Setting of High Standards across the Food Chain,Yes
Portugal,Nutrition,Educational Courses for Workers and\or Setting of High Standards across the Food Chain,Yes
Belgium,Nutrition,Targeted Interventions for Addressing Dietary Issues,Yes
Bulgaria,Nutrition,Targeted Interventions for Addressing Dietary Issues,Yes
Croatia,Nutrition,Targeted Interventions for Addressing Dietary Issues,Yes
Estonia,Nutrition,Targeted Interventions for Addressing Dietary Issues,yes
Finland,Nutrition,Targeted Interventions for Addressing Dietary Issues,Yes
Germany,Nutrition,Targeted Interventions for Addressing Dietary Issues,Yes
Greece,Nutrition,Targeted Interventions for Addressing Dietary Issues,Yes
Italy,Nutrition,Targeted Interventions for Addressing Dietary Issues,Yes
Latvia,Nutrition,Targeted Interventions for Addressing Dietary Issues,Yes
Luxemburg,Nutrition,Targeted Interventions for Addressing Dietary Issues,Yes
Malta,Nutrition,Targeted Interventions for Addressing Dietary Issues,yes
Netherlands,Nutrition,Targeted Interventions for Addressing Dietary Issues,Yes
Poland,Nutrition,Targeted Interventions for Addressing Dietary Issues,Yes
Portugal,Nutrition,Targeted Interventions for Addressing Dietary Issues,Yes
Slovakia,Nutrition,Targeted Interventions for Addressing Dietary Issues,Yes
Slovenia,Nutrition,Targeted Interventions for Addressing Dietary Issues,Yes
Spain,Nutrition,Targeted Interventions for Addressing Dietary Issues,Yes
Sweden,Nutrition,Targeted Interventions for Addressing Dietary Issues,Yes
Belgium,Nutrition,"Promote the Consumption of Specific Food Products (fruits, vegetables, dietary products etc)",Yes
Bulgaria,Nutrition,"Promote the Consumption of Specific Food Products (fruits, vegetables, dietary products etc)",Yes
Croatia,Nutrition,"Promote the Consumption of Specific Food Products (fruits, vegetables, dietary products etc)",Yes
Estonia,Nutrition,"Promote the Consumption of Specific Food Products (fruits, vegetables, dietary products etc)",Yes
Finland,Nutrition,"Promote the Consumption of Specific Food Products (fruits, vegetables, dietary products etc)",Yes
France,Nutrition,"Promote the Consumption of Specific Food Products (fruits, vegetables, dietary products etc)",Yes
Germany,Nutrition,"Promote the Consumption of Specific Food Products (fruits, vegetables, dietary products etc)",Yes
Greece,Nutrition,"Promote the Consumption of Specific Food Products (fruits, vegetables, dietary products etc)",Yes
Hungary,Nutrition,"Promote the Consumption of Specific Food Products (fruits, vegetables, dietary products etc)",Yes
Ireland,Nutrition,"Promote the Consumption of Specific Food Products (fruits, vegetables, dietary products etc)",Yes
Italy,Nutrition,"Promote the Consumption of Specific Food Products (fruits, vegetables, dietary products etc)",Yes
Latvia,Nutrition,"Promote the Consumption of Specific Food Products (fruits, vegetables, dietary products etc)",Yes
Lithuania,Nutrition,"Promote the Consumption of Specific Food Products (fruits, vegetables, dietary products etc)",yes
Luxemburg,Nutrition,"Promote the Consumption of Specific Food Products (fruits, vegetables, dietary products etc)",Yes
Malta,Nutrition,"Promote the Consumption of Specific Food Products (fruits, vegetables, dietary products etc)",Yes
Netherlands,Nutrition,"Promote the Consumption of Specific Food Products (fruits, vegetables, dietary products etc)",Yes
Poland,Nutrition,"Promote the Consumption of Specific Food Products (fruits, vegetables, dietary products etc)",Yes
Portugal,Nutrition,"Promote the Consumption of Specific Food Products (fruits, vegetables, dietary products etc)",Yes
Slovakia,Nutrition,"Promote the Consumption of Specific Food Products (fruits, vegetables, dietary products etc)",Yes
Slovenia,Nutrition,"Promote the Consumption of Specific Food Products (fruits, vegetables, dietary products etc)",Yes
Sweden,Nutrition,"Promote the Consumption of Specific Food Products (fruits, vegetables, dietary products etc)",yes
Belgium,Nutrition,"Demote the Consumption of Specific Food Products (salt, fat, saturated fat acids, red meat, added sugar etc)",Yes
Bulgaria,Nutrition,"Demote the Consumption of Specific Food Products (salt, fat, saturated fat acids, red meat, added sugar etc)",Yes
Estonia,Nutrition,"Demote the Consumption of Specific Food Products (salt, fat, saturated fat acids, red meat, added sugar etc)",Yes
Finland,Nutrition,"Demote the Consumption of Specific Food Products (salt, fat, saturated fat acids, red meat, added sugar etc)",Yes
France,Nutrition,"Demote the Consumption of Specific Food Products (salt, fat, saturated fat acids, red meat, added sugar etc)",yes
Greece,Nutrition,"Demote the Consumption of Specific Food Products (salt, fat, saturated fat acids, red meat, added sugar etc)",Yes
Italy,Nutrition,"Demote the Consumption of Specific Food Products (salt, fat, saturated fat acids, red meat, added sugar etc)",Yes
Latvia,Nutrition,"Demote the Consumption of Specific Food Products (salt, fat, saturated fat acids, red meat, added sugar etc)",Yes
Lithuania,Nutrition,"Demote the Consumption of Specific Food Products (salt, fat, saturated fat acids, red meat, added sugar etc)",Yes
Malta,Nutrition,"Demote the Consumption of Specific Food Products (salt, fat, saturated fat acids, red meat, added sugar etc)",Yes
Netherlands,Nutrition,"Demote the Consumption of Specific Food Products (salt, fat, saturated fat acids, red meat, added sugar etc)",Yes
Poland,Nutrition,"Demote the Consumption of Specific Food Products (salt, fat, saturated fat acids, red meat, added sugar etc)",Yes
Portugal,Nutrition,"Demote the Consumption of Specific Food Products (salt, fat, saturated fat acids, red meat, added sugar etc)",yes
Slovenia,Nutrition,"Demote the Consumption of Specific Food Products (salt, fat, saturated fat acids, red meat, added sugar etc)",Yes
Sweden,Nutrition,"Demote the Consumption of Specific Food Products (salt, fat, saturated fat acids, red meat, added sugar etc)",Yes
Croatia,Nutrition,Tax Policy Measures  ,Yes
Finland,Nutrition,Tax Policy Measures  ,Yes
France,Nutrition,Tax Policy Measures  ,Yes
Netherlands,Nutrition,Tax Policy Measures  ,Yes
Poland,Nutrition,Tax Policy Measures  ,"Yes (sweetened drinks, caffeneited/or with taurine)"
Bulgaria,Nutrition,Apply Special Guidelines within School Settings,Yes
Croatia,Nutrition,Apply Special Guidelines within School Settings,Yes
Finland,Nutrition,Apply Special Guidelines within School Settings,Yes
Germany,Nutrition,Apply Special Guidelines within School Settings,Yes
Greece,Nutrition,Apply Special Guidelines within School Settings,Yes
Italy,Nutrition,Apply Special Guidelines within School Settings,Yes
Latvia,Nutrition,Apply Special Guidelines within School Settings,Yes
Malta,Nutrition,Apply Special Guidelines within School Settings,Yes
Netherlands,Nutrition,Apply Special Guidelines within School Settings,Yes
Poland,Nutrition,Apply Special Guidelines within School Settings,Yes
Portugal,Nutrition,Apply Special Guidelines within School Settings,Yes
Bulgaria,Nutrition,"Special Food Packaging and/or Restrictions on Advertising, Availabilities etc",Yes
Estonia,Nutrition,"Special Food Packaging and/or Restrictions on Advertising, Availabilities etc",Yes
France,Nutrition,"Special Food Packaging and/or Restrictions on Advertising, Availabilities etc",Yes
Latvia,Nutrition,"Special Food Packaging and/or Restrictions on Advertising, Availabilities etc",Yes
Malta,Nutrition,"Special Food Packaging and/or Restrictions on Advertising, Availabilities etc",Yes
Netherlands,Nutrition,"Special Food Packaging and/or Restrictions on Advertising, Availabilities etc",Yes
Portugal,Nutrition,"Special Food Packaging and/or Restrictions on Advertising, Availabilities etc",Yes
Austria,Health Literacy,Ensure High-Level of Health Literacy Among Healthcare Profesionals & Stakeholders,Yes
Czech Republic,Health Literacy,Ensure High-Level of Health Literacy Among Healthcare Profesionals & Stakeholders,Yes
Finland,Health Literacy,Ensure High-Level of Health Literacy Among Healthcare Profesionals & Stakeholders,Yes
Italy,Health Literacy,Ensure High-Level of Health Literacy Among Healthcare Profesionals & Stakeholders,Yes
Poland,Health Literacy,Ensure High-Level of Health Literacy Among Healthcare Profesionals & Stakeholders,Yes
Romania,Health Literacy,Ensure High-Level of Health Literacy Among Healthcare Profesionals & Stakeholders,Yes
Slovakia,Health Literacy,Ensure High-Level of Health Literacy Among Healthcare Profesionals & Stakeholders,Yes
Spain,Health Literacy,Ensure High-Level of Health Literacy Among Healthcare Profesionals & Stakeholders,Yes
Sweden,Health Literacy,Ensure High-Level of Health Literacy Among Healthcare Profesionals & Stakeholders,Yes
Austria,Health Literacy,"Utilize Technology for Health Literacy Enhancement (e.g. Central Information Points, Websites, Data diodes)",Yes
Bulgaria,Health Literacy,"Utilize Technology for Health Literacy Enhancement (e.g. Central Information Points, Websites, Data diodes)",Yes
Czech Republic,Health Literacy,"Utilize Technology for Health Literacy Enhancement (e.g. Central Information Points, Websites, Data diodes)",Yes
Italy,Health Literacy,"Utilize Technology for Health Literacy Enhancement (e.g. Central Information Points, Websites, Data diodes)",Yes
Spain,Health Literacy,"Utilize Technology for Health Literacy Enhancement (e.g. Central Information Points, Websites, Data diodes)",Yes
Austria,Health Literacy,Health Literacy Empowering Interventions (Targeted Populations),Yes
Bulgaria,Health Literacy,Health Literacy Empowering Interventions (Targeted Populations),Yes
Czech Republic,Health Literacy,Health Literacy Empowering Interventions (Targeted Populations),Yes
Finland,Health Literacy,Health Literacy Empowering Interventions (Targeted Populations),Yes
France,Health Literacy,Health Literacy Empowering Interventions (Targeted Populations),Yes
Italy,Health Literacy,Health Literacy Empowering Interventions (Targeted Populations),Yes
Malta,Health Literacy,Health Literacy Empowering Interventions (Targeted Populations),Yes
Romania,Health Literacy,Health Literacy Empowering Interventions (Targeted Populations),yes
Spain,Health Literacy,Health Literacy Empowering Interventions (Targeted Populations),Yes
Austria,Health Literacy,Continuous Education and Training Programs for Clinicians,Yes
Poland,Health Literacy,Continuous Education and Training Programs for Clinicians,Yes
Romania,Health Literacy,Continuous Education and Training Programs for Clinicians,Yes
Spain,Health Literacy,Continuous Education and Training Programs for Clinicians,Yes
Bulgaria,Health Promotion,Promotion of Uptaking a Healthy Lifestyle & Encouraging Healthy Aging ,Yes
Cyprus,Health Promotion,Promotion of Uptaking a Healthy Lifestyle & Encouraging Healthy Aging ,Yes
Czech Republic,Health Promotion,Promotion of Uptaking a Healthy Lifestyle & Encouraging Healthy Aging ,Yes
Estonia,Health Promotion,Promotion of Uptaking a Healthy Lifestyle & Encouraging Healthy Aging ,Yes
France,Health Promotion,Promotion of Uptaking a Healthy Lifestyle & Encouraging Healthy Aging ,Yes
Germany,Health Promotion,Promotion of Uptaking a Healthy Lifestyle & Encouraging Healthy Aging ,Yes
Italy,Health Promotion,Promotion of Uptaking a Healthy Lifestyle & Encouraging Healthy Aging ,Yes
Latvia,Health Promotion,Promotion of Uptaking a Healthy Lifestyle & Encouraging Healthy Aging ,Yes
Lithuania,Health Promotion,Promotion of Uptaking a Healthy Lifestyle & Encouraging Healthy Aging ,Yes
Malta,Health Promotion,Promotion of Uptaking a Healthy Lifestyle & Encouraging Healthy Aging ,Yes
Netherlands,Health Promotion,Promotion of Uptaking a Healthy Lifestyle & Encouraging Healthy Aging ,Yes
Poland,Health Promotion,Promotion of Uptaking a Healthy Lifestyle & Encouraging Healthy Aging ,Yes
Portugal,Health Promotion,Promotion of Uptaking a Healthy Lifestyle & Encouraging Healthy Aging ,Yes
Romania,Health Promotion,Promotion of Uptaking a Healthy Lifestyle & Encouraging Healthy Aging ,Yes
Slovakia,Health Promotion,Promotion of Uptaking a Healthy Lifestyle & Encouraging Healthy Aging ,Yes
Spain,Health Promotion,Promotion of Uptaking a Healthy Lifestyle & Encouraging Healthy Aging ,Yes
Sweden,Health Promotion,Promotion of Uptaking a Healthy Lifestyle & Encouraging Healthy Aging ,yes
France,Health Promotion,Health Promotion App/personalized cancer risk assesment,Yes
Slovakia,Health Promotion,Health Promotion App/personalized cancer risk assesment,Yes
Austria,Health Promotion,Awareness Campaign,Yes
Belgium,Health Promotion,Awareness Campaign,Yes
Bulgaria,Health Promotion,Awareness Campaign,Yes
Cyprus,Health Promotion,Awareness Campaign,Yes
Czech Republic,Health Promotion,Awareness Campaign,Yes
Estonia,Health Promotion,Awareness Campaign,Yes
France,Health Promotion,Awareness Campaign,Yes
Germany,Health Promotion,Awareness Campaign,Yes
Italy,Health Promotion,Awareness Campaign,Yes
Latvia,Health Promotion,Awareness Campaign,Yes
Lithuania,Health Promotion,Awareness Campaign,Yes
Luxemburg,Health Promotion,Awareness Campaign,Yes
Malta,Health Promotion,Awareness Campaign,Yes
Netherlands,Health Promotion,Awareness Campaign,Yes
Poland,Health Promotion,Awareness Campaign,Yes
Portugal,Health Promotion,Awareness Campaign,Yes
Romania,Health Promotion,Awareness Campaign,Yes
Slovakia,Health Promotion,Awareness Campaign,Yes
Spain,Health Promotion,Awareness Campaign,Yes
Bulgaria,Health Promotion,Educational Programs within the School Settings,Yes
Cyprus,Health Promotion,Educational Programs within the School Settings,Yes
France,Health Promotion,Educational Programs within the School Settings,Yes
Germany,Health Promotion,Educational Programs within the School Settings,Yes
Italy,Health Promotion,Educational Programs within the School Settings,Yes
Malta,Health Promotion,Educational Programs within the School Settings,Yes
Poland,Health Promotion,Educational Programs within the School Settings,Yes
Spain,Health Promotion,Educational Programs within the School Settings,Yes
Bulgaria,Health Promotion,Educational Programs within PHC Settings,Yes
Cyprus,Health Promotion,Educational Programs within PHC Settings,Yes
France,Health Promotion,Educational Programs within PHC Settings,Yes
Malta,Health Promotion,Educational Programs within PHC Settings,Yes
Poland,Health Promotion,Educational Programs within PHC Settings,Yes
Spain,Health Promotion,Educational Programs within PHC Settings,Yes
France,Health Promotion,Dedicated Action Plan,Yes
Germany,Health Promotion,Dedicated Action Plan,yes
Italy,Health Promotion,Dedicated Action Plan,Yes
Slovakia,Health Promotion,Dedicated Action Plan,Yes
France,Health Promotion,Develop Psychological Skills and Healthy Lifestyles on Children ,Yes
Italy,Health Promotion,Develop Psychological Skills and Healthy Lifestyles on Children ,Yes
Malta,Health Promotion,Develop Psychological Skills and Healthy Lifestyles on Children ,Yes
Poland,Health Promotion,Develop Psychological Skills and Healthy Lifestyles on Children ,Yes
France,Health Promotion,Incorporate Protection in Procurement Contract Regulations,Yes
Italy,Health Promotion,Incorporate Protection in Procurement Contract Regulations,Yes
Latvia,Health Promotion,Incorporate Protection in Procurement Contract Regulations,Yes
Bulgaria,Health Education,Cancer /NCD Education Programs  ,Yes
Croatia,Health Education,Cancer /NCD Education Programs  ,Yes
Cyprus,Health Education,Cancer /NCD Education Programs  ,Yes
Czech Republic,Health Education,Cancer /NCD Education Programs  ,Yes
Estonia,Health Education,Cancer /NCD Education Programs  ,Yes
Finland,Health Education,Cancer /NCD Education Programs  ,Yes
France,Health Education,Cancer /NCD Education Programs  ,Yes
Germany,Health Education,Cancer /NCD Education Programs  ,Yes
Italy,Health Education,Cancer /NCD Education Programs  ,Yes
Lithuania,Health Education,Cancer /NCD Education Programs  ,Yes
Malta,Health Education,Cancer /NCD Education Programs  ,Yes
Poland,Health Education,Cancer /NCD Education Programs  ,Yes
Romania,Health Education,Cancer /NCD Education Programs  ,Yes
Slovenia,Health Education,Cancer /NCD Education Programs  ,Yes
Spain,Health Education,Cancer /NCD Education Programs  ,Yes
Sweden,Health Education,Cancer /NCD Education Programs  ,Yes
Bulgaria,Health Education,Dedicated Programs  within Schools Settings,yes
Cyprus,Health Education,Dedicated Programs  within Schools Settings,Yes
France,Health Education,Dedicated Programs  within Schools Settings,Yes
Germany,Health Education,Dedicated Programs  within Schools Settings,Yes
Italy,Health Education,Dedicated Programs  within Schools Settings,Yes
Malta,Health Education,Dedicated Programs  within Schools Settings,Yes
Poland,Health Education,Dedicated Programs  within Schools Settings,Yes
Slovenia,Health Education,Dedicated Programs  within Schools Settings,Yes
Austria,Health Education,Dedicated programs within Occupational Settings,Yes
Bulgaria,Health Education,Dedicated programs within Occupational Settings,Yes
Croatia,Health Education,Dedicated programs within Occupational Settings,Yes
Czech Republic,Health Education,Dedicated programs within Occupational Settings,Yes
France,Health Education,Dedicated programs within Occupational Settings,Yes
Germany,Health Education,Dedicated programs within Occupational Settings,Yes
Italy,Health Education,Dedicated programs within Occupational Settings,Yes
Poland,Health Education,Dedicated programs within Occupational Settings,Yes
Romania,Health Education,Dedicated programs within Occupational Settings,Yes
Slovenia,Health Education,Dedicated programs within Occupational Settings,Yes
Bulgaria,Health Education,Training Programs for Healthcare Professionals to Empower their Health Promotion/ Health Education Capabilities,Yes
Croatia,Health Education,Training Programs for Healthcare Professionals to Empower their Health Promotion/ Health Education Capabilities,Yes
Cyprus,Health Education,Training Programs for Healthcare Professionals to Empower their Health Promotion/ Health Education Capabilities,Yes
France,Health Education,Training Programs for Healthcare Professionals to Empower their Health Promotion/ Health Education Capabilities,Yes
Lithuania,Health Education,Training Programs for Healthcare Professionals to Empower their Health Promotion/ Health Education Capabilities,Yes
Slovenia,Health Education,Training Programs for Healthcare Professionals to Empower their Health Promotion/ Health Education Capabilities,Yes
Spain,Health Education,Training Programs for Healthcare Professionals to Empower their Health Promotion/ Health Education Capabilities,Yes
